journal_id,issn
10009,1433-2787
10015,1614-7456
10032,1433-2825
10044,1433-755X
10055,1434-9957
10111,1435-5566
10115,0219-3116
10207,1615-5270
10209,1615-5297
10270,1619-1374
10458,1573-7454
10462,1573-7462
10472,1573-7470
10489,1573-7497
10506,1572-8382
10515,1573-7535
10586,1573-7543
10601,1572-9354
10606,1573-7551
10618,1573-756X
10619,1573-7578
10623,1573-7586
10639,1573-7608
10664,1573-7616
10676,1572-8439
10707,1573-7624
10710,1573-7632
10723,1572-9184
10766,1573-7640
10791,1573-7659
10817,1573-0670
10844,1573-7675
10851,1573-7683
10922,1573-7705
10994,1573-0565
11023,1572-8641
11042,1573-7721
11047,1572-9796
11063,1573-773X
11075,1572-9265
11086,1608-3261
11107,1572-8188
11192,1588-2861
11219,1573-1367
11222,1573-1375
11227,1573-0484
11241,1573-1383
11257,1573-1391
11263,1573-1405
11280,1573-1413
11334,1614-5054
11390,1860-4749
11416,2263-8733
11432,1869-1919
11493,1555-6212
11554,1861-8219
11623,1862-2607
11633,1751-8520
11704,2095-2236
11714,2095-9230
11721,1935-3820
11760,1863-1711
11761,1863-2394
11950,1558-108X
11952,1934-8371
11984,1934-8118
12005,1934-7898
12095,1936-2455
12193,1783-8738
12559,1866-9964
13218,1610-1987
13222,1610-1995
13278,1869-5469
13389,2190-8516
13677,2192-113X
13688,2193-1127
13721,2192-6670
13735,2192-662X
13748,2192-6360
13755,2047-2501
138,1432-1769
145,1432-1378
146,1435-5655
200,1432-0622
224,1433-0490
236,1432-0525
287,1432-122X
354,1882-7055
366,1435-5663
37,1420-8954
371,1432-2315
40012,2277-9086
40054,
40537,2196-1115
40593,1560-4306
40702,2198-2775
40708,2198-4026
40860,2199-4676
41019,2364-1541
41060,2364-4168
41109,2364-8228
41239,2365-9440
41666,2509-498X
41870,2511-2112
41965,2523-8914
42044,2520-8446
42162,2520-8942
42400,2523-3246
42486,2524-5228
42492,2524-4442
42514,2524-4930
42786,2524-7964
42979,2661-8907
43439,2662-9739
43588,2662-8457
43681,2730-5961
43926,2730-7239
44206,2731-4669
44227,2211-7946
44230,2667-1336
44244,2731-667X
44248,2731-6955
44267,2731-9008
44354,3004-9792
44387,3005-1460
44398,3005-1924
44427,2066-7760
44443,2213-1248
44486,
44488,
44540,
44564,3005-1754
44584,
44595,
446,1432-0452
453,1432-0541
521,1433-3058
530,1432-1882
607,1436-5057
766,1432-010X
778,0949-877X
779,1617-4917
799,1432-1300
